HGNC Symbol,Transcript stable ID,RefSeq mRNA ID,RefSeq peptide ID,Protein length,canonical_isoform
H1-0,ENST00000340857,NM_005318,NP_005309,194,
H1-1,ENST00000244573,NM_005325,NP_005316,215,
H1-2,ENST00000343677,NM_005319,NP_005310,213,
H1-3,ENST00000244534,NM_005320,NP_005311,221,
H1-4,ENST00000304218,NM_005321,NP_005312,219,
H1-5,ENST00000331442,NM_005322,NP_005313,226,
H1-6,ENST00000338379,NM_005323,NP_005314,207,
H1-7,ENST00000335017,NM_181788,NP_861453,255,
H1-8,ENST00000324382,NM_153833,NP_722575,346,
H1-8,ENST00000503977,NM_001308262,NP_001295191,207,
H1-9P,,,,30,
H1-10,ENST00000333762,NM_006026,NP_006017,213,
H2AC1,ENST00000297012,NM_170745,NP_734466,131,
H2AC4,ENST00000615868,NM_003513,NP_003504,130,canonical_H2A_isoform_2
H2AC6,ENST00000377791,NM_003512,NP_003503,130,canonical_H2A_isoform_7
H2AC7,ENST00000341023,NM_021065,NP_066409,130,canonical_H2A_isoform_9
H2AC8,ENST00000303910,NM_021052,NP_066390,130,canonical_H2A_isoform_2
H2AC11,ENST00000359193,NM_021064,NP_066408,130,canonical_H2A_isoform_10
H2AC12,ENST00000377459,NM_080596,NP_542163,128,canonical_H2A_isoform_10
H2AC13,ENST00000358739,NM_003509,NP_003500,130,canonical_H2A_isoform_10
H2AC14,ENST00000333151,NM_021066,NP_066544,128,canonical_H2A_isoform_8
H2AC15,ENST00000618958,NM_003510,NP_003501,130,canonical_H2A_isoform_10
H2AC16,ENST00000613174,NM_003511,NP_003502,130,canonical_H2A_isoform_10
H2AC17,ENST00000359611,NM_003514,NP_003505,130,canonical_H2A_isoform_10
H2AC18,ENST00000369159,NM_003516,NP_003507,130,canonical_H2A_isoform_3
H2AC19,ENST00000607355,NM_001040874,NP_001035807,130,canonical_H2A_isoform_3
H2AC20,ENST00000331380,NM_003517,NP_003508,129,canonical_H2A_isoform_6
H2AC21,ENST00000331128,NM_175065,NP_778235,130,canonical_H2A_isoform_4
H2AJ,ENST00000544848,NM_177925,NP_808760,129,
H2AW,ENST00000366695,NM_033445,NP_254280,130,canonical_H2A_isoform_5
H2AX,ENST00000530167,NM_002105,NP_002096,143,
H2AZ1,ENST00000651623,,,127,
H2AZ1,ENST00000296417,NM_002106,NP_002097,128,
H2AZ2,ENST00000222690,NM_138635,NP_619541,114,
H2AZ2,ENST00000437072,,,76,
H2AZ2,ENST00000349299,NM_201517,NP_958925,90,
H2AZ2,ENST00000308153,NM_012412,NP_036544,128,
H2AZ2,ENST00000350771,NM_201436,NP_958844,102,
